English	French
come play with us	venez jouer avec nous
have you made up your mind to become a teacher	as tu décidé de devenir professeur
i left my umbrella here last night	je ai laissé mon parapluie ici hier au soir
do you hit your children	frappes tu tes enfants
the king oppressed his people	le roi oppressait son peuple
i know that tom likes jazz	je sais que tom aime le jazz
be sensible	soyez raisonnable
we are bound to each other by a close friendship	une amitié étroite nous lie
i have heard a lot about you	on m a beaucoup parlé de vous
what would you like to eat	qu aimeriez vous manger
i am going to be your teacher	je vais être votre instituteur
she suffers from a contagious disease	elle souffre d une maladie contagieuse
eat and drink	mange et bois
he was discharged from the army	il a été déchargé de l armée
that s incredibly boring	ce est incroyablement ennuyeux
the wind blew hard	le vent soufflait fort
get up out of bed	sors du lit
the poor young man finally became a great artist	le pauvre jeune homme devint finalement un grand artiste
i could kiss you	je pourrais t embrasser
what a remarkable performance	quelle remarquable interprétation
i was no match for him	je ne pouvais me mesurer à lui
she is a very intelligent young lady	ce est une jeune femme très intelligente
let us talk this thing out ok	discutons en de accord
do not say another word	ne dis pas un mot de plus
he works as hard as any student	il travaille aussi dur que n importe quel autre étudiant
i got my ears pierced	je me suis fait percer les oreilles
it was impossible to pull out the cork	il était impossible de retirer le bouchon
do you know why	est ce que vous savez pourquoi
sales fell off in the third quarter	les ventes ont baissé au troisième trimestre
he sat listening to the radio	il s est assis et a écouté la radio
you must teach me what you know	tu dois m enseigner ce que tu sais
there were only six people at the meeting	il y avait seulement six personnes à la réunion
i talked to everybody	je ai discuté avec tout le monde
i know that you are vegetarians	je sais que vous êtes végétariens
may i have your name and telephone number please	pourrais je avoir votre nom et numéro de téléphone s il vous plait
i have been living in rio de janeiro for four years	j habite à rio de janeiro depuis quatre ans
i like playing golf	j aime jouer au golf
it is his problem not mine	ce est son problème pas le mien
my wife harbors a deep seated resentment toward her father	ma femme nourrit un profond ressentiment à l égard de son père
you were alone at that time were not you	vous étiez seules à ce moment là ne est ce pas
you get used to it	tu t y habitueras
do not trust anyone	ne te fie à personne
this is messed up	ce est foiré
he works from monday to friday	il travaille du lundi au vendredi
they are not home yet	ils ne sont pas encore à la maison
i will risk it	je tenterai le coup
your problem is you are not patient enough	le problème ce est que vous n êtes pas assez patients
you are kidding	tu me fais marcher
you will be better off buying a new one than trying to fix it	tu ferais mieux d en acheter un neuf plutôt que d essayer de le réparer
i remember you	je me souviens de toi
how much thinner do you want to be	de combien voulez vous être plus mince
i want my money back and i want it back now	je veux qu on me rende mon argent et je veux qu on me le rende maintenant
you will understand it later on	tu le comprendras plus tard
he wants more	il en veut davantage
they rowed up the river	ils remontèrent la rivière à la rame
there is a bus stop near our school	il y a un arrêt de bus au voisinage de notre école
i appreciate you being here	je te suis reconnaissant d être là
i will be there monday night	je serai là bas lundi soir
everyone kept quiet	tout le monde est resté silencieux
he is going to stay with his uncle for the weekend	il va rester avec son oncle pour le weekend
are you real sure about that	en êtes vous vraiment sûrs
let us not do anything that might get us in trouble	ne faisons rien qui pourrait nous causer des ennuis
lawyers are all liars	tous les avocats sont des menteurs
that s my business	ça me regarde
i pretended that i was sleeping	je faisais semblant d être en train de dormir
this is your captain speaking	ce est votre capitaine qui s adresse à vous
if no one has a better proposal let us get to work	si personne n a de meilleure proposition mettons y nous
this suitcase is too heavy for you	cette valise est trop lourde pour toi
marry me	épouse moi
you are very angry	vous êtes très en colère
everybody here knows me	tout le monde ici me connaît
you are not bad	tu n es pas mal
i am surprised to see you here	je suis surpris de vous voir ici
the police still have no leads	la police n a pas encore de piste
my father used to go to work by bus	mon père avait l habitude d aller travailler en bus
the custom originated in china	cette tradition est née en chine
do you want to do this now	voulez vous vous le faire maintenant
how did he ever get so lucky	comment se fait il qu il ait eu tant de chance
she has many dogs	elle a de nombreux chiens
next time you will not be so lucky	la prochaine fois tu ne seras pas aussi chanceuse
i am sad	je suis triste
thanks for the meal	merci pour le repas
do you write short stories	écrivez vous des nouvelles
our class is a small one	notre classe est une petite classe
i will be back within an hour	je serai de retour d ici une heure
i am accustomed to working hard	je suis habituée à travailler dur
she has the habit of clearing her throat whenever she is nervous	elle a l habitude d éclaircir sa gorge chaque fois qu elle est nerveuse
you are creative	vous êtes créative
what s the commotion	quel est ce tumulte
do not leave the bicycle in the rain	ne laisse pas le vélo sous la pluie
i have never come across such a strange case	je n ai jamais rencontré un cas aussi étrange
you may leave your bag here	tu peux laisser ton sac ici
you were not serious were you	tu n étais pas sérieux si
the employee was escorted off the premises	l employé fut escorté hors des locaux
i am cooking now	je cuisine en ce moment
i bought him a clock	je lui ai acheté une horloge
there is an urgent need for medical supplies	il y a un besoin urgent de fournitures médicales
i want to know what you see right now	je veux savoir ce que vous voyez à l instant
i do not recognize the number	je ne reconnais pas le numéro
she calls him every night and talks for at least an hour	elle l appelle chaque soir et parle pendant au moins une heure
we ate fresh fruit after dinner	nous avons mangé des fruits frais après le dîner
you are not very good	vous n êtes pas très bonne
what does she think of it	qu en pense t elle
i hope that s not true	j espère que ce ne est pas vrai
he combined two ideas into one	il a relié deux idées en une
be there tonight	sois ici cette nuit
the princess lay with her eyes closed	la princesse est allongée les yeux clos
the two of us are finally alone	nous sommes enfin seuls
he runs	il court
a study found that almost of men were obese in that was up from about in	une étude a montré que presque dix pour cent des hommes étaient obèses en deux mille huit c était en augmentation en partant d environ cinq pour cent en mille neuf cent quatre vingt
a computer is an absolute necessity now	un ordinateur est désormais absolument indispensable
do not do something stupid	ne fais rien d irréfléchi
i do not like this book	je n aime pas ce livre
i lost my wallet on the way to school	je ai perdu mon portefeuille sur le chemin de l école
did tom ever tell you how he first met mary	tom t a t il déjà dit comment il a rencontré mary pour la première fois
i am just worried about my weight	je suis juste préoccupée par mon poids
the whole family was out harvesting the corn	la famille entière était dehors à récolter le maïs
are you finished with your work	as tu fini ton travail
do you weigh more than tom	pèses tu plus que tom
i can hear you	je peux t entendre
he had no memory of the accident	il n avait aucun souvenir de l accident
i want to tell you a strange thing	je veux te dire quelque chose de bizarre
i agree to this plan	j approuve ce projet
how s your project coming along	comment se présente votre projet
life is full of ups and downs	la vie est pleine de hauts et de bas
it makes no difference to me whether you believe it or not	que tu le croies ou non ne me fait ni chaud ni froid
i am tired of listening to his long speech	je suis fatiguée d écouter son long discours
tom does not use sunscreen	tom n utilise pas de crème solaire
i am actually kind of flattered	je suis en fait plutôt flattée
is that what you think i want to hear	est ce ce que tu penses que je veux entendre
i have some other appointments	je ai quelques autres rendez vous
she plays the piano every day	elle joue du piano tous les jours
the girls won	les filles l emportèrent
stop being so nice to me	cessez d être aussi gentille avec moi
i just got a little carried away	je me suis un petit peu laissée emporter
she loves tom	elle est amoureuse de tom
you owe him the truth	tu dois lui dire la vérité
tom tore the paper in half	tom déchira le papier en deux
i d never betray your trust	je ne trahirai jamais votre confiance
i cannot tell you how happy i am that you have come to visit us	je ne peux pas te dire à quel point je suis heureux que vous soyez venus nous rendre visite
the whole nation wants peace	toute la nation veut la paix
this window will not open	cette fenêtre refuse de s ouvrir
you do your part and i will do the rest	tu remplis ton rôle et je ferai le reste
i will not bother you	je ne vais pas vous déranger
you were almost in time	tu as failli arriver à temps
he can swim a mile	il peut nager mile
he has too much pride	il a trop de fierté
why did you come over here	pourquoi êtes vous venue ici
according to him she is honest	selon lui elle est honnête
one of them is a spy	l une d entre elles est une espionne
i do not want to participate in the ceremony	je ne veux pas participer à la cérémonie
he studies chinese	il étudie le chinois
there s a lot to do	il y a fort à faire
did you play tennis yesterday	as tu joué au tennis hier
it is not polite to stare at people	il ne est pas poli de regarder fixement les gens
i got one for christmas	j en ai eu un pour noël
do you ever think before you open your big mouth	ne réfléchis tu jamais avant d ouvrir ta grande gueule
we cannot go there	nous ne pouvons pas aller là bas
i consider you one of my closest friends	je te considère comme l un de mes amis les plus proches
we cannot do this without you	nous n arrivons pas à le faire sans vous
never mind what she says	ne fais pas attention à ce qu elle dit
he shall die	il doit mourir
does this not please you	cela ne vous plaît il pas
do not you want a little excitement	ne veux tu pas un peu d effervescence
the wedding will take place next spring	le mariage aura lieu au printemps prochain
he came across this old coin in an antique shop	il tomba par hasard sur cette vieille pièce dans un magasin d antiquités
why bother fixing it	a quoi bon le réparer
are you seeing anybody right now	vois tu qui que ce soit en ce moment
you might not like this	il se pourrait que tu ne l aimes pas
the room is crawling with spiders	la pièce grouille d araignées
when does it arrive	quand arrive t il
tom is not bothering me	tom ne me dérange pas
not everyone agrees	tout le monde ne est pas de accord
i remember seeing you last year	je me rappelle t avoir vue l année passée
i know i have said some pretty stupid things today	je sais que je ai dit des trucs assez idiots aujourd hui
it costs around thirty euros	ça coûte dans les trente euros
give me a chance	accorde moi une chance
we already gave it to you	nous te l avons déjà donné
the escaped prisoners are still on the run	les prisonniers fugitifs sont toujours en cavale
she did not listen	elle n écouta pas
we will be eating soon	nous mangerons bientôt
what horrible weather	quel temps horrible
she devoted her life to education	elle a voué sa vie à l éducation
it was like something out of a nightmare	c était comme quelque chose sorti d un cauchemar
she is on a roll	elle a la baraka
she closed her eyes	elle a clos les yeux
hey what s all the noise	eh ce est quoi tout ce bruit
i lied about that	je ai menti à ce sujet
i do not feel like eating sushi	ça ne me dit rien de manger des sushis
i figured i might find you here	je ai songé que je pourrais vous trouver là
i did not ask	je n ai pas demandé
do not talk back to me like that	ne me répondez pas comme cela
an old man broke into our conversation	un vieil homme s immisça dans notre conversation
i arrived ahead of the others	j arrivai avant les autres
tomorrow is christmas	demain ce est noël
a flea can jump times its own height	une puce peut sauter deux cents fois sa propre taille
add a little more milk to my tea please	un peu plus de lait dans mon thé s il vous plaît
i do not know what i d do without you	j ignore ce que je ferais sans vous
the house appears to be empty	la maison paraît vide
he has no conscience	il n a aucune conscience
i did not want to surprise you	je ne voulais pas vous surprendre
did i wake you up	vous ai je réveillées
something had to be done	quelque chose devait être fait
i have to make some calls	il me faut passer des appels
i like my life the way it is now	j aime ma vie telle qu elle est maintenant
you are very observant	vous êtes très observateur
by the time we got there the ship had left	le temps que nous arrivions le bateau était parti
lake baikal in russia is the deepest lake in the world	le lac baïkal en russie est le lac le plus profond du monde
my girlfriend is crying	ma copine pleure
how did you lose your arm	comment as tu perdu ton bras
i put some milk in my coffee	je ai mis un peu de lait dans mon café
i took over my father s job	je ai repris le travail de mon père
let me introduce you to a new way of doing that	laisse moi te montrer une nouvelle manière de faire ça
is there anything you want to add to what i just said	y a t il quoi que ce soit que vous veuillez ajouter à ce que je viens de dire
that girl is really shy	cette fille est vraiment timide
do you want to dance	as tu envie de danser
i tried to do all i could	je ai essayé de faire tout ce que je pouvais
you do not have to apologize	tu n es pas obligée de présenter tes excuses
the girls won	les filles l ont emporté
you do not expect me to face tom alone do you	tu ne t attends pas à ce que je fasse face à tom seul ne est ce pas
i wish he were on our team	j aimerais qu il fasse partie de notre équipe
she hates fish and never eats any	elle a horreur du poisson et n en mange jamais
tom walks slowly	tom marche lentement
everybody in the building felt the earthquake	tout le monde dans le bâtiment a ressenti le séisme
they all scoffed	ils ont tous raillé
he congratulated me on my success	il me félicita pour mon succès
that s not my opinion	ce ne est pas mon opinion
i am not eating	je ne suis pas en train de manger
i really mean it	je suis sérieux
my sister is very intelligent	ma sœur est très intelligente
the dog followed its master wagging its tail	le chien suivit son maître en agitant la queue
why do not you let us go	pourquoi ne nous laisses tu pas partir
he reached out for the sugar that was on the other table	il étendit la main pour attraper le sucre qui se trouvait sur l autre table
he walked at a quick pace	il marchait à un rythme rapide
i like summer the best	ce que je préfère ce est l été
she opened the letter quickly	elle a ouvert la lettre en hâte
enjoy yourselves	amusez vous bien
i loved you	je t aimais
i love nara particularly in the fall	j aime nara surtout en automne
life is often compared to a voyage	on compare souvent la vie à un voyage
i pretended that it did not bother me	je ai feint de ne pas en être dérangé
i saw what your dog did	je ai vu ce que votre chien a fait
they used truth serum	elles employèrent du sérum de vérité
who are you supposed to be	qui êtes vous supposé être
are we alone	sommes nous seules
both of them started laughing	toutes les deux se mirent à rire
she always buys expensive clothes	elle achète toujours des vêtements coûteux
when did they build that	quand ont elles construit cela
in most cases their answers are right	dans la plupart des cas leurs réponses sont justes
i love shopping for clothes	j adore acheter des vêtements
the tragedy of war must not be forgotten	la tragédie de la guerre ne doit pas être oubliée
i could not stop myself	je ne pouvais pas m arrêter
will you come back tomorrow	reviendras tu demain
a coat is an article of clothing	un manteau est un vêtement
do not bother waking me up at a m i do not plan to go fishing tomorrow	ne prenez pas la peine de me réveiller à quatre heures du matin je ne prévois pas d aller pêcher demain
tom kept mary waiting for an hour	tom a fait attendre marie pendant une heure
he betrayed my confidence	il a trahi ma confiance
i feel very cold	je ai très froid
i am from shizuoka	je suis de shizuoka
i asked you last night	je t ai demandé hier soir
can you spare me a few minutes i d like to have a word with you	peux tu me consacrer quelques minutes j aimerais te dire un mot
you cannot be thirty years old	vous ne pouvez pas avoir trente ans
tom went straight to bed	tom est parti directement au lit
tom fell over and landed flat on his face	tom est tombé la tête la première
i just do not want you to get hurt	je ne veux pas que tu sois blessé un point ce est tout
how did you come by this painting	comment êtes vous entrée en possession de ce tableau
have you already chosen	avez vous déjà choisi
maybe i should go with you	peut être devrais je t accompagner
the mechanic assembled the engine	le mécanicien assembla le moteur
i have been living in canada for almost five years	ça fait presque ans que je vis au canada
tom asked if you d be there	tom a demandé si tu serais là
i did not take anything from his bag	je n ai rien pris de son sac
why did you try to run away	pourquoi avez vous essayé de vous enfuir
i will stay out of your way	je resterai à l écart de votre chemin
i could not walk	je ne pourrais pas marcher
you have very sexy legs	tu as des jambes très sexy
he is enjoying himself	il s amuse
choose books carefully	choisis des livres avec soin
she is hyperactive	elle est hyperactive
this sentence is not french	cette phrase ne est pas française
stay out of my room	reste hors de ma chambre
i forgot to tell you something	je ai oublié de te dire quelque chose
i am getting too old for this job	je me fais trop vieux pour ce travail
how many people are in your crew	combien de gens compte votre équipage
is it true that tom has a twin	c est vrai que tom a une sœur jumelle
i cannot believe your mom let you go	je n arrive pas à croire que ta mère t aie laissé partir
she shook her head	elle secoua la tête
i got your letter yesterday	je ai reçu ta lettre hier
as soon as i can get the chance i will send you some money	dès que je peux avoir l occasion je vous enverrai de l argent
the less said the better	moins on en dit mieux on se porte
that young lady is a nurse	cette jeune personne est infirmière
i hope you learned your lesson	j espère que tu as appris ta leçon
the trouble is that it costs too much	le problème est que cela coûte trop cher
what was it	de quoi s agissait il
i do not think you have much choice	je ne pense pas que tu aies vraiment le choix
are you sure they can do this	êtes vous sûre qu ils peuvent faire ça
he was too tired to study	il était trop fatigué pour étudier
tom will leave the company at the end of the year	tom quittera l entreprise à la fin de l année
i d like to give tom something special for his birthday	j aimerais offrir quelque chose de spécial à tom pour son anniversaire
i had to change the plan	je ai dû changer le plan
i saw him crossing the road	je l ai vu traverser la route
i will make you some coffee	je vous ferai du café
they are both good teachers	ce sont tous les deux de bons professeurs
i do not like any of these pictures	je n aime aucune de ces images
my father is not as old as he looks	mon père ne est pas aussi vieux qu il en a l air
war s not pretty	la guerre ne est pas belle
excuse me but i can barely hear you	excusez moi mais vous êtes difficilement audible
how did you get here so fast	comment êtes vous arrivée ici si rapidement
you would look stupid wearing your mother s dress	t aurais l air idiot à porter la robe de ta mère
i do not have all the facts	je ne dispose pas de tous les faits
my girlfriend was crying	ma copine était en train de pleurer
i have two children to support	je ai deux enfants à élever
someone please help me	que quelqu un veuille bien m aider
something is going on here	quelque chose se trame ici
he is at church right now	il est à l église en ce moment
i despise you	je te méprise
do not give up on your dreams	ne renonce pas à tes rêves
i heard a dog barking in the distance	je ai entendu un chien aboyer au loin
i have a pair of red shoes	je ai une paire de chaussures rouges
i am glad i invited you	je suis heureux de vous avoir invité
fashions change quickly	les modes changent rapidement
he worked for a rich man	il travaillait pour un richard
handmade goods are very expensive nowadays	les produits faits main sont très chers de nos jours
this sofa can seat three people easily	trois personnes peuvent facilement s asseoir dans ce canapé
what are these people doing	que font ces gens
tom was trying to control his own violent temper	tom essayait de contrôler son propre tempérament violent
finding an apartment can be difficult	trouver un appartement peut s avérer difficile
could you go to the store and grab some eggs	pourrais tu aller au magasin me chercher des œufs
the army is in the north to protect the border	l armée est dans le nord pour protéger la frontière
she had already gone to bed when i called her at p m	elle était déjà allée se coucher quand je lui ai téléphoné à h
what would you take for the lot	que voudriez vous pour le tout
i knew what you meant	je savais ce que tu voulais dire
i do not know what i am going to do	je ne sais pas ce que je vais faire
i want something cold to drink	je veux boire quelque chose de frais
i need some time to think	il me faut un peu de temps pour réfléchir
keep your room as neat as you can	maintiens ta chambre aussi propre que tu peux
they can manage	elles peuvent gérer
is the cat on the chair or under the chair	le chat est il sur ou sous la chaise
we need to find tom right away	il nous faut trouver tom immédiatement
obviously you volunteered	à l évidence vous vous êtes portées volontaires
a new dress was bought for her	on lui a acheté une nouvelle robe
tom found a hundred dollar bill on the street	tom a trouvé un billet de cent dollars dans la rue
tom put on some clothes	tom s habilla
he is good at driving	il est bon conducteur
how do you want your hair cut	comment voulez vous vous faire couper les cheveux
there is one less	il y en a une de moins
we all want you back	nous voulons toutes votre retour
the price of this car is very high	le prix de cette voiture est très élevé
shepherd tried to run and was shot	shepherd a essayé de s enfuir et a été abattu
i am very disappointed in you	tu me déçois vraiment
i think we are in agreement	je pense que nous sommes de accord
it was kind of you to help me	c était gentil à toi de m aider
anyone can do that	n importe qui peut faire ça
they forgot to lock the door	elles ont oublié de fermer la porte à clé
it is very cold this evening	il fait très froid ce soir
we are in a library	nous sommes dans une bibliothèque
do not tell anyone this	ne dites cela à personne
they all laughed at his jokes	ils ont tous ri de ses blagues
i like old cars	j aime les vieilles voitures
i wish they would stop fighting	j aimerais qu elles cessent de se disputer
i do not know whether to accept or refuse	je ne sais pas si je dois accepter ou refuser
if i were rich i would go abroad	si j étais riche je me rendrais à l étranger
business failures are down this year	les faillites ont diminué de cette année
which doctor is attending you	quel est ton médecin traitant
what would you do if you had a million dollars	que ferais tu si tu avais un million de dollars
tom is persuaded he is right	tom est sûr d avoir raison
you are killing me	tu me tues
the bacteria that are transferred during a kiss help improve your immune system	les bactéries transférées lors d un baiser aident à améliorer ton système immunitaire
try this	essayez ceci
they will go shopping	ils iront faire les courses
tom went back into his office	tom retourna dans son bureau
is that all you can say	est ce là tout ce que tu peux dire
i love three day weekends	j adore les week ends de trois jours
are you mentally ill	êtes vous mentalement dérangée
i cannot catch my breath	je n arrive pas à reprendre mon souffle
i met him just as he was coming out of school	je l ai rencontré alors qu il sortait de l école
it is ridiculous	ce est ridicule
they wanted to know what happened	ils voulaient savoir ce qui s était passé
that s your answer for everything is not it	ce est votre réponse à tout ne est ce pas
do not walk out on me again	ne me lâchez pas à nouveau
i did not think you were coming	je ne pensais pas que vous veniez
she was playing the piano at that time	elle jouait du piano à ce moment
i am sorry i am busy right now	je suis désolé je suis occupé pour l instant
she invited me to the ballet	elle m invita au ballet
tom claims he does not watch much tv but he watches more than three hours every day	tom prétend qu il ne regarde pas beaucoup la télévision mais il la regarde plus de trois heures par jour
you are not normal	tu n es pas normal
why do you want to work for our company	pourquoi voulez vous travailler pour notre entreprise
what is wrong with that guy	que est ce qui ne va pas avec ce type
we picked apples so we could make an apple pie	nous cueillîmes des pommes de manière à confectionner une tarte
you are not supposed to swim here	vous n êtes pas censés nager ici
i want to talk to you alone	je veux vous parler seul
i accompanied her on a walk	je l accompagnai en promenade
i am a careful man	je suis un homme prudent
do not run	ne courez pas
i promise you i will not ever leave you	je te promets que je ne te quitterai jamais
obviously he is wrong	il a tort à l évidence
i am a little rusty	je suis un peu rouillé
i am not advocating that	je n en suis pas partisan
what a strange woman	quelle femme étrange
i like neither of them	je n aime aucun d entre eux
i have a very sore arm where you hit me	je ai très mal au bras là où tu m as frappée
stop what you are doing	arrête ce que tu fais
we depend on you	nous dépendons de vous
we cannot hang around here	nous n avons pas le droit de traîner par ici
their sales are growing	leurs ventes augmentent
african elephants have bigger ears than asian elephants	les éléphants d afrique ont de plus grandes oreilles que les éléphants d asie
i agree with him	je suis d accord avec lui
i think that s up to you now	je pense que ça dépend désormais de vous
you will get over it	tu t en remettras
french is spoken in france	le français est parlé en france
i will ride shotgun	je me mettrai à la place du mort
she got no answer from him	elle n obtint pas de réponse de sa part
next thing you know you will be in the papers	avant même que tu ne le saches tu seras dans les journaux
why do not you grow up	pourquoi ne grandis tu pas
tom has a very large ego	tom est imbu de lui même
how come you did not call me last night	pourquoi ne m as tu pas appelé la nuit dernière
i really appreciate all your help	j apprécie vraiment toute votre aide
i took a taxi because the bus was late	je ai pris un taxi car le bus était en retard
we are safer here than we would be in a city	nous sommes davantage en sécurité ici que nous le serions en ville
i am running out of closet space	je manque d espace dans mon placard
i just wanted to tell you how pleased i am	je voulais juste vous dire combien j étais satisfait
i know when i am not wanted	je sais lorsque je suis indésirable
it was personal	c était personnel
i will lend you my textbook if you promise not to write anything in it	je te prêterai mon manuel si tu promets de ne rien y écrire
it is easy for her to make friends	il lui est aisé de se faire des amies
he is always friendly to me	il est toujours sympathique envers moi
make it smaller	faites le plus petit
the situation seemed hopeless	il semblait que la situation était sans espoir
excuse me but may i open the window	veuillez m excuser mais puis je ouvrir la fenêtre
she could not get over her husband s death	elle ne put surmonter la mort de son mari
i saw you outside	je vous ai vues dehors
they are leaving	ils s en vont
you can visit nhk any time	on peut visiter la nhk n importe quand
i am getting married in october	je vais me marier en octobre
have not you seen the doctor	n avez vous pas vu le médecin
i am not one to gossip	je ne suis pas une commère
tom had mary s undivided attention	tom avait toute l attention de mary
what book did you buy	quel livre as tu acheté
she is getting breakfast ready	elle est en train de préparer le petit déjeuner
she was humiliated by him	elle a été humiliée par lui
he is never been in love before	jamais il n a été amoureux auparavant
correct my spelling if it is wrong	corrigez mon orthographe si elle est incorrecte
i hope our luck does not run out	j espère que notre chance ne va pas s épuiser
we can continue playing as long as we do not make too much noise	nous pouvons continuer à jouer pour autant que nous ne fassions pas trop de bruit
i thought you were injured	je pensais que vous étiez blessées
he is distracted	il est dans la lune
the novel takes place in victorian england	le roman se passe dans l angleterre victorienne
i love all of you	je vous aime tous
it is never too late to learn	on est jamais trop vieux pour apprendre
it is not healthy for you	ce ne est pas sain pour vous
write to tom	écris à tom
he asked me what i had bought	il m a demandé ce que j avais acheté
he does not even remember what happened last night	il ne se souvient même pas de ce qui est arrivé la nuit dernière
we are accustomed to wearing shoes	nous sommes habitués à porter des chaussures
the girl did not say anything	la fille ne dit rien
give me back my glasses	redonne moi mes lunettes
the child s nose is bleeding	le gosse saigne du nez
i do not accept it	je ne l accepte pas
i want a piece of candy	je veux un bonbon
you overestimate him	vous le surestimez
i need your answer by the end of the day	je ai besoin de votre réponse avant la fin de la journée
how many children do you have	combien d enfants as tu
tom took another bite	tom a pris une autre bouchée
we heard a gunshot	nous entendîmes une détonation
this book is not available in japan	ce livre ne est pas disponible au japon
i really did not have time	je n ai vraiment pas disposé du temps
i did not want to intrude	je ne voulais pas m imposer
the seine flows through paris	la seine traverse paris
did you write this book	tu as écrit ce livre
i do not like bad boys	je n aime pas un voyou
i have read the book before	je ai lu le livre auparavant
